h_avg_runs,h_barrel,h_estimated_ba_using_speedangle,h_estimated_woba_using_speedangle,h_launch_speed,h_ops,h_strikeout,p_barrel,p_era,p_estimated_ba_using_speedangle,p_estimated_woba_using_speedangle,p_games_played,p_hr9,p_launch_speed,p_ops,p_strikeout,p_whip,run_first_inning_yes
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.0,0.0,0.3304242424242424,0.22041404242424242,11.0,0.0,88.14999999999999,0.3015151515151515,1.3636363636363635,0.6363636363636364,0
0.45,0.012520525451559935,0.31558173234811165,0.2962741329365079,89.03498768472906,0.5926587301587302,1.0833333333333333,0.03333333333333333,3.6,0.23417500000000002,0.24501218095238095,10.0,0.0,87.47,0.4109523809523809,1.0,1.2,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.041666666666666664,4.5,0.3410902777777778,0.3070779833333333,12.0,3.0,89.19541666666667,0.7305555555555555,1.3333333333333333,1.25,0
0.45,0.012520525451559935,0.31558173234811165,0.2962741329365079,89.03498768472906,0.5926587301587302,1.0833333333333333,0.018181818181818184,4.153846153846154,0.27734285714285717,0.24631661709401712,13.0,0.0,89.18361471861472,0.37087912087912084,1.0,1.0769230769230769,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.0,0.0,0.2803333333333333,0.3959703333333333,2.0,0.0,84.54166666666666,0.16666666666666666,0.0,0.5,0
0.4262295081967213,0.0,0.3276433908045977,0.2907475545407234,87.55140804597701,0.5925253708040593,1.0163934426229508,0.0,0.0,0.381,0.3315,1.0,0.0,78.76666666666667,0.75,1.0,1.0,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.0,4.846153846153846,0.2601549783549783,0.2195809452991453,13.0,0.0,88.32272727272726,0.38461538461538464,1.2307692307692308,1.0769230769230769,0
0.4603174603174603,0.011666666666666665,0.2751627380952381,0.2396691307634165,91.58005555555556,0.5042328042328043,1.3174603174603174,0.0,1.6363636363636365,0.23700757575757575,0.21319257575757575,11.0,0.0,86.54318181818182,0.35757575757575755,0.8181818181818182,0.7272727272727273,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.0,4.5,0.3242083333333334,0.25979122936507937,12.0,0.0,91.00694444444444,0.3819444444444444,1.25,1.0833333333333333,0
0.4262295081967213,0.0,0.3276433908045977,0.2907475545407234,87.55140804597701,0.5925253708040593,1.0163934426229508,0.008547008547008546,4.846153846153846,0.34722863247863245,0.3340919282051282,13.0,0.6923076923076923,87.9405982905983,0.6893162393162394,0.46153846153846156,1.4615384615384615,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.01515151515151515,5.25,0.2538939393939394,0.23040153472222222,12.0,2.25,86.09469696969697,0.5267857142857143,1.3333333333333333,1.1666666666666667,0
0.4603174603174603,0.011666666666666665,0.2751627380952381,0.2396691307634165,91.58005555555556,0.5042328042328043,1.3174603174603174,0.0,0.75,0.317125,0.19587296666666668,12.0,0.75,87.63611111111112,0.45555555555555555,1.6666666666666667,0.9166666666666666,1
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.0,6.75,0.34693333333333337,0.2899546785714286,4.0,0.0,94.82333333333334,0.6011904761904762,1.25,1.75,0
0.4262295081967213,0.0,0.3276433908045977,0.2907475545407234,87.55140804597701,0.5925253708040593,1.0163934426229508,0.0,0.75,0.317125,0.19587296666666668,12.0,0.75,87.63611111111112,0.45555555555555555,1.6666666666666667,0.9166666666666666,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.0,0.0,0.1850277777777778,0.15568405555555556,6.0,0.0,87.15277777777777,0.16666666666666666,1.0,0.3333333333333333,0
0.4603174603174603,0.011666666666666665,0.2751627380952381,0.2396691307634165,91.58005555555556,0.5042328042328043,1.3174603174603174,0.008547008547008546,4.846153846153846,0.34722863247863245,0.3340919282051282,13.0,0.6923076923076923,87.9405982905983,0.6893162393162394,0.46153846153846156,1.4615384615384615,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.0,0.0,0.17958333333333334,0.1598938888888889,9.0,0.0,84.75833333333333,0.12037037037037036,1.2222222222222223,0.3333333333333333,0
0.43548387096774194,0.030913978494623653,0.29388986175115206,0.2962230340757809,88.45639784946236,0.5473502304147465,1.0483870967741935,0.018181818181818184,4.153846153846154,0.27734285714285717,0.24631661709401712,13.0,0.0,89.18361471861472,0.37087912087912084,1.0,1.0769230769230769,0
0.22580645161290322,0.0,0.2983822404371585,0.25548184831029186,86.79734972677596,0.3815860215053763,1.0161290322580645,0.020833333333333332,3.0,0.2267986111111111,0.24350002222222222,12.0,2.25,87.39999999999999,0.6777777777777777,0.9166666666666666,1.1666666666666667,0
0.43548387096774194,0.030913978494623653,0.29388986175115206,0.2962230340757809,88.45639784946236,0.5473502304147465,1.0483870967741935,0.03333333333333333,3.6,0.23417500000000002,0.24501218095238095,10.0,0.0,87.47,0.4109523809523809,1.0,1.2,0
